epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,79578.9,1.00032,1.28857,1.51779,0.69546,0.47861,0.53527,0.3691,0.91177,1.19829,1.25661,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,80672.8,0.99772,1.2939,1.51692,0.69324,0.4811,0.53586,0.36989,0.90982,1.19536,1.25454,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,81794.5,1.00696,1.29307,1.51648,0.69226,0.48246,0.53715,0.37086,0.90935,1.19233,1.25377,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,82889.6,0.99865,1.28188,1.51051,0.69597,0.48019,0.53747,0.37125,0.90863,1.18911,1.25307,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,83989.4,1.00158,1.2812,1.51136,0.69286,0.48344,0.53865,0.37214,0.90758,1.18661,1.25195,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,85085.8,0.99428,1.2808,1.50711,0.69709,0.48324,0.5394,0.37282,0.90691,1.18438,1.25127,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,86181.9,0.99475,1.27663,1.51034,0.70158,0.48295,0.54018,0.37347,0.9084,1.17994,1.2521,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,87289.1,0.99317,1.27676,1.50407,0.69826,0.48522,0.54103,0.3745,0.90649,1.17825,1.24969,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,88418.1,0.9933,1.27081,1.50392,0.7051,0.48364,0.54175,0.37519,0.90688,1.17543,1.24975,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,89534.4,0.99875,1.28007,1.50976,0.70451,0.48393,0.54252,0.37588,0.90678,1.17151,1.24991,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,90627.1,0.98885,1.26175,1.49702,0.70461,0.48344,0.54291,0.37663,0.9065,1.17013,1.24955,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,91719.6,0.99128,1.26417,1.50059,0.70491,0.48407,0.5435,0.37688,0.90585,1.16823,1.24786,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,92810.9,0.99133,1.27418,1.50525,0.70021,0.48679,0.5439,0.37734,0.90498,1.16427,1.24731,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,93903.1,0.99024,1.26837,1.5018,0.70524,0.48423,0.54441,0.37824,0.90323,1.16103,1.2459,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
86,94994.8,0.99023,1.26219,1.50063,0.70607,0.48536,0.5451,0.37895,0.90164,1.15959,1.24491,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
87,96085.5,0.9958,1.26419,1.50019,0.70465,0.48535,0.54519,0.37945,0.90017,1.15757,1.24381,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
88,97176.8,0.98598,1.25587,1.49571,0.70186,0.4861,0.54605,0.38047,0.89937,1.15464,1.24285,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
89,98268,0.98408,1.24933,1.49443,0.69956,0.48767,0.54705,0.38143,0.89794,1.15236,1.24195,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
90,99358.7,0.98947,1.25695,1.4965,0.69955,0.48856,0.54773,0.38189,0.89641,1.14925,1.24019,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131,0.0240039,0.00800131
91,100448,0.99136,1.25849,1.49886,0.69789,0.49083,0.54848,0.38264,0.89441,1.14655,1.23883,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
92,101539,0.98286,1.2486,1.49113,0.70135,0.49138,0.54947,0.38352,0.89264,1.14341,1.23672,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744,0.0237523,0.00791744
93,102630,0.98047,1.24465,1.48872,0.70093,0.49133,0.55005,0.38416,0.8913,1.14107,1.235,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
94,103719,0.98404,1.24114,1.48741,0.7026,0.49083,0.5505,0.38496,0.89001,1.13894,1.23303,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
95,104809,0.98122,1.24268,1.48891,0.70282,0.49113,0.55063,0.38538,0.88833,1.13666,1.23221,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
96,105902,0.97552,1.23681,1.48853,0.70644,0.4893,0.55099,0.38583,0.88751,1.13395,1.23177,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
97,106992,0.97525,1.2379,1.4841,0.7072,0.48955,0.55133,0.38632,0.88652,1.13153,1.23108,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
98,108084,0.97621,1.23651,1.48538,0.70983,0.48824,0.55211,0.38706,0.88576,1.12838,1.22958,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843,0.0229753,0.00765843
99,109175,0.97562,1.22734,1.48992,0.70666,0.49077,0.55252,0.38758,0.8852,1.12466,1.22918,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
100,110266,0.97766,1.23768,1.48604,0.70885,0.49096,0.55332,0.38815,0.88406,1.12183,1.22809,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
101,111357,0.97249,1.22512,1.48201,0.70815,0.49266,0.55384,0.38898,0.88179,1.11866,1.22682,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,112448,0.97613,1.22844,1.48503,0.7078,0.49419,0.55413,0.38942,0.87817,1.11723,1.22511,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997,0.0224399,0.00747997
103,113538,0.97216,1.22755,1.48224,0.70785,0.49458,0.55506,0.38983,0.87742,1.11432,1.22467,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
104,114630,0.97783,1.2292,1.48125,0.71017,0.49448,0.55541,0.3901,0.87654,1.11081,1.22424,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913,0.0221674,0.00738913
105,115758,0.97148,1.22251,1.47721,0.70886,0.49547,0.55582,0.39096,0.87521,1.10799,1.22312,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
106,116855,0.97096,1.21924,1.47486,0.71223,0.49478,0.5566,0.39151,0.875,1.10591,1.22237,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
107,117960,0.96977,1.22099,1.475,0.71224,0.49478,0.55698,0.39204,0.87367,1.10303,1.22134,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
108,119081,0.97047,1.22566,1.47983,0.71255,0.49576,0.55775,0.39235,0.87331,1.09969,1.22118,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439,0.0216132,0.00720439
109,120183,0.9624,1.20914,1.46854,0.71548,0.49507,0.55881,0.39328,0.87267,1.09621,1.22047,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
110,121280,0.96197,1.20646,1.47343,0.71543,0.49682,0.55924,0.39388,0.87184,1.09304,1.21968,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059
111,122392,0.96003,1.2039,1.4716,0.71966,0.49363,0.5597,0.39426,0.87176,1.09087,1.22005,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
112,123505,0.96782,1.21285,1.47391,0.71649,0.49478,0.56034,0.3951,0.87154,1.08838,1.21981,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
113,124607,0.96451,1.21362,1.47191,0.7193,0.49379,0.56088,0.39537,0.87098,1.08567,1.21993,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
114,125706,0.96089,1.20276,1.47082,0.71924,0.4964,0.56129,0.39584,0.87003,1.08367,1.21954,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031
115,126818,0.95676,1.19248,1.46901,0.73191,0.49187,0.56212,0.39635,0.8695,1.08041,1.21952,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
116,127929,0.95673,1.19964,1.46514,0.73519,0.49182,0.56251,0.39684,0.86816,1.07712,1.218,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
117,129031,0.95925,1.19789,1.46453,0.7364,0.49221,0.56332,0.39753,0.86656,1.07517,1.2166,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
118,130125,0.95795,1.20081,1.46488,0.74179,0.49014,0.56377,0.39784,0.8666,1.07246,1.21642,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
119,131222,0.95505,1.18891,1.46184,0.742,0.49005,0.56411,0.39857,0.86619,1.07042,1.21541,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
120,132323,0.94992,1.18554,1.45975,0.74324,0.49074,0.56425,0.39916,0.86472,1.06909,1.21321,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885
121,133422,0.94915,1.1806,1.46057,0.74747,0.48906,0.56499,0.39968,0.86392,1.06753,1.21205,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
122,134527,0.95448,1.18994,1.46256,0.74959,0.48857,0.56582,0.40009,0.86276,1.06609,1.21074,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025
123,135630,0.944,1.17679,1.45904,0.74731,0.49172,0.56665,0.40035,0.86276,1.06423,1.20983,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
124,136747,0.94482,1.17534,1.45077,0.74694,0.49143,0.56668,0.40071,0.86202,1.06287,1.20843,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
125,137854,0.95165,1.18464,1.45975,0.74304,0.49379,0.56706,0.40158,0.86116,1.06009,1.20822,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
126,138988,0.94907,1.1783,1.45552,0.74631,0.49261,0.5675,0.40218,0.86073,1.05793,1.20757,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
127,140122,0.94437,1.17236,1.45244,0.74858,0.493,0.56772,0.40261,0.86017,1.05565,1.20703,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
128,141233,0.93613,1.16266,1.44633,0.73818,0.49852,0.56844,0.40311,0.85896,1.05314,1.20594,0.0186922,0.00623074,0.0186922,0.00623074,0.0186922,0.00623074,0.0186922,0.00623074
129,142336,0.93996,1.1648,1.45007,0.74208,0.49939,0.5693,0.40357,0.85812,1.05227,1.20533,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
